champion,patch,id_postaci
Anivia,15.02,247
Milio,15.02,248
Twisted Fate,15.02,249
Vayne,15.02,250
Veigar,15.02,251
Thresh,15.02,252
Leblanc,15.02,253
Nunu & Willump,15.02,254
Annie,15.02,255
Trundle,15.02,256
Diana,15.02,257
Taric,15.02,258
Nasus,15.02,259
Morgana,15.02,260
Nami,15.02,261
Sona,15.02,262
Akshan,15.02,263
Sett,15.02,264
Lucian,15.02,265
Twitch,15.02,266
Garen,15.02,267
Fiddlesticks,15.02,268
Naafiri,15.02,269
Graves,15.02,270
K'Sante,15.03,271
Xin Zhao,15.03,272
Azir,15.03,273
Kai'Sa,15.03,274
Rakan,15.03,275
Jayce,15.03,276
Vi,15.03,277
Orianna,15.03,278
Ashe,15.03,279
Braum,15.03,280
,15.03,281
Renekton,15.03,282
Wukong,15.03,283
Ahri,15.03,284
Kalista,15.03,285
Renata Glasc,15.03,286
Ambessa,15.03,287
Skarner,15.03,288
Mel,15.03,289
Corki,15.03,290
Leona,15.03,291
Urgot,15.03,292
Sejuani,15.03,293
Yone,15.03,294
Varus,15.03,295
Nautilus,15.03,296
Jax,15.03,297
Nocturne,15.03,298
Galio,15.03,299
Miss Fortune,15.03,300
Poppy,15.03,301
Hwei,15.03,302
Rumble,15.03,303
Pantheon,15.03,304
Ezreal,15.03,305
Lissandra,15.03,306
Elise,15.03,307
Lee Sin,15.03,308
Aurora,15.03,309
Lucian,15.03,310
Nami,15.03,311
Gragas,15.03,312
Viego,15.03,313
Caitlyn,15.03,314
Karma,15.03,315
Akali,15.03,316
Rell,15.03,317
Ornn,15.03,318
Alistar,15.03,319
Lillia,15.03,320
Tryndamere,15.03,321
Camille,15.03,322
Gnar,15.03,323
Udyr,15.03,324
Zeri,15.03,325
Kayle,15.02,326
Bard,15.03,327
Cho'Gath,15.03,328
Zyra,15.03,329
Sylas,15.03,330
Olaf,15.03,331
Maokai,15.03,332
Viktor,15.03,333
Jhin,15.03,334
Xayah,15.03,335
Aatrox,15.03,336
Neeko,15.03,337
Gwen,15.03,338
Ivern,15.03,339
Jinx,15.03,340
Taliyah,15.03,341
Volibear,15.03,342
Brand,15.03,343
Swain,15.03,344
Garen,15.03,345
Cassiopeia,15.03,346
Nidalee,15.03,347
Blitzcrank,15.03,348
Seraphine,15.03,349
Pyke,15.03,350
Ryze,15.03,351
Leblanc,15.03,352
Sivir,15.03,353
Syndra,15.03,354
Tristana,15.03,355
Ziggs,15.03,356
Sett,15.03,357
Sion,15.03,358
Malphite,15.03,359
Kha'Zix,15.03,360
Illaoi,15.03,361
Lux,15.03,362
Zilean,15.03,363
Bel'Veth,15.03,364
Vladimir,15.03,365
Warwick,15.03,366
Nunu & Willump,15.03,367
Fiora,15.03,368
Kindred,15.03,369
Kennen,15.03,370
Lulu,15.03,371
Shen,15.03,372
Vayne,15.03,373
Anivia,15.03,374
Draven,15.03,375
Diana,15.03,376
Yasuo,15.03,377
Thresh,15.03,378
Smolder,15.03,379
Vel'Koz,15.03,380
Jarvan Iv,15.03,381
Janna,15.03,382
Milio,15.03,383
Mordekaiser,15.03,384
Ekko,15.03,385
Zed,15.03,386
Rengar,15.03,387
Irelia,15.03,388
Amumu,15.03,389
Zoe,15.03,390
Soraka,15.03,391
Veigar,15.03,392
